Game;;Result;Moves;Year;Event/Locale;Opening
63. Van der Wiel vs Kasparov;;1-0;42;1976;Wch U16;B93 Sicilian, Najdorf, 6.f4
64. D Dunne vs Kasparov;;0-1;57;1976;Wch U16;B51 Sicilian, Canal-Sokolsky (Rossolimo) Attack
65. Kasparov vs Dolmatov;;0-1;46;1977;URS-chT U20;D30 Queen's Gambit Declined
66. Ehlvest vs Kasparov;;0-1;40;1977;URS-chT U20;B13 Caro-Kann, Exchange
67. Taliyarm vs Kasparov;;0-1;37;1977;URS;B13 Caro-Kann, Exchange
68. L Zaid vs Kasparov;;1-0;87;1977;URS-chT U20;A75 Benoni, Classical with ...a6 and 10...Bg4
69. Avsalumov vs Kasparov;;½-½;41;1977;URS;B18 Caro-Kann, Classical
70. Kasparov vs A M Morgulov;;½-½;22;1977;URS;B13 Caro-Kann, Exchange
71. Kasparov vs Z Sturua;;½-½;55;1977;Moscow;D37 Queen's Gambit Declined
72. Haritonov vs Kasparov;;½-½;18;1977;URS;A05 Reti Opening
73. Kasparov vs Malichikov;;1-0;51;1977;URS;B39 Sicilian, Accelerated Fianchetto, Breyer Variation
74. R Korsunsky vs Kasparov;;½-½;46;1977;URS;B92 Sicilian, Najdorf, Opocensky Variation
75. E Magerramov vs Kasparov;;0-1;30;1977;Training Match;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
Game;;Result;Moves;Year;Event/Locale;Opening
76. L Zaid vs Kasparov;;1-0;87;1977;URS-chT U20;A75 Benoni, Classical with ...a6 and 10...Bg4
77. Taliyarm vs Kasparov;;0-1;37;1977;URS;B13 Caro-Kann, Exchange
78. P Korzubov vs Kasparov;;0-1;35;1977;URS-chT U20;B80 Sicilian, Scheveningen
79. Kasparov vs Z Sturua;;½-½;55;1977;Moscow;D37 Queen's Gambit Declined
80. Avsalumov vs Kasparov;;½-½;41;1977;URS;B18 Caro-Kann, Classical
81. Kasparov vs R Gabdrakhmanov;;1-0;37;1977;URS;C54 Giuoco Piano
82. Kasparov vs Malshikov;;1-0;51;1977;URS;B39 Sicilian, Accelerated Fianchetto, Breyer Variation
83. R Korsunsky vs Kasparov;;½-½;46;1977;URS;B92 Sicilian, Najdorf, Opocensky Variation
84. Dolmatov vs Kasparov;;0-1;22;1977;URS;B10 Caro-Kann
85. Kasparov vs Kengis;;1-0;23;1977;URS-ch U20;A47 Queen's Indian
86. Kasparov vs A Nikitin;;½-½;36;1977;Baku training2;D85 Grunfeld
87. Kasparov vs Yermolinsky;;½-½;20;1977;URS;B67 Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 8...Bd7
88. Kasparov vs Pigusov;;1-0;37;1977;URS-ch U20;D37 Queen's Gambit Declined
89. Kasparov vs Kengis;;1-0;23;1977;URS-ch U20;D02 Queen's Pawn Game
90. L S Eolian vs Kasparov;;0-1;41;1977;URS-ch U20;B18 Caro-Kann, Classical
91. Kasparov vs I Efimov;;½-½;17;1977;URS-ch U20;C18 French, Winawer
92. Z Sturua vs Kasparov;;0-1;45;1977;URS-ch U20;A48 King's Indian
93. Kasparov vs Gicin;;1-0;44;1977;URS-ch U20;B05 Alekhine's Defense, Modern
94. Kasparov vs Yusupov;;1-0;48;1977;URS-ch U20;E11 Bogo-Indian Defense
95. Lanka vs Kasparov;;0-1;37;1977;URS-ch U20;B18 Caro-Kann, Classical
96. Romanchenko vs Kasparov;;0-1;45;1977;URS-ch U20;B95 Sicilian, Najdorf, 6...e6
97. Kasparov vs A V Kharitonov;;1-0;34;1977;Junior Tournament;C69 Ruy Lopez, Exchange, Gligoric Variation
