Game;;Result;Moves;Year;Event/Locale;Opening
66. G Ravinsky vs Karpov;;½-½;19;1966;Masters-Candidate Masters;C62 Ruy Lopez, Old Steinitz Defense
67. M Noakh vs Karpov;;0-1;100;1966;Masters-Candidate Masters;C68 Ruy Lopez, Exchange
68. Karpov vs I A Zaitsev;;½-½;19;1966;Masters-Candidate Masters;B10 Caro-Kann
69. G Ravinsky vs Karpov;;0-1;44;1966;Masters-Candidate Masters;C86 Ruy Lopez, Worrall Attack
70. Karpov vs Alekseev;;½-½;29;1966;Masters-Candidate Masters;A07 King's Indian Attack
71. Karpov vs I A Zaitsev;;½-½;23;1966;Masters-Candidate Masters;A07 King's Indian Attack
72. E Hatlebakk vs Karpov;;0-1;49;1966;Stockholm tt-jr;C96 Ruy Lopez, Closed
73. Karpov vs E Hatlebakk;;½-½;51;1966;Stockholm tt-jr;C80 Ruy Lopez, Open
74. Kupreichik vs Karpov;;0-1;33;1966;2nd Christmas Tournament;C77 Ruy Lopez
75. Karpov vs Smejkal;;1-0;28;1966;2nd Christmas Tournament;A07 King's Indian Attack
Game;;Result;Moves;Year;Event/Locale;Opening
76. F Blatny vs Karpov;;½-½;17;1966;2nd Christmas Tournament;C86 Ruy Lopez, Worrall Attack
77. Karpov vs J Augustin;;1-0;42;1966;2nd Christmas Tournament;B24 Sicilian, Closed
78. Karpov vs E Walica;;1-0;23;1966;2nd Christmas Tournament;B20 Sicilian
79. W Maroszczyk vs Karpov;;½-½;15;1966;2nd Christmas Tournament;D63 Queen's Gambit Declined, Orthodox Defense
80. Vilem Novak vs Karpov;;0-1;19;1966;2nd Christmas Tournament;E22 Nimzo-Indian, Spielmann Variation
81. Karpov vs J Sikora-Lerch;;1-0;42;1966;2nd Christmas Tournament;B24 Sicilian, Closed
82. Karpov vs Y Dobkin;;½-½;52;1967;Leningrad;A07 King's Indian Attack
83. Karpov vs Nizovsky;;1-0;43;1967;05, Vladimir;C77 Ruy Lopez
84. Karpov vs M Dvoretzky;;1-0;46;1967;04, Moscow;E81 King's Indian, Samisch
85. Karpov vs Detkov;;1-0;30;1967;03, Vladimir;C91 Ruy Lopez, Closed
86. N Popov vs Karpov;;0-1;48;1967;Leningrad;C69 Ruy Lopez, Exchange, Gligoric Variation
87. Vaganian vs Karpov;;½-½;40;1967;URS-ch U20;E18 Queen's Indian, Old Main line, 7.Nc3
88. Karpov vs S A Chekhelian;;½-½;37;1967;Leningrad;B40 Sicilian
89. Antoshin vs Karpov;;1-0;38;1967;URS ol;E12 Queen's Indian
90. Karpov vs Palatnik;;1-0;34;1967;02, Moscow;A07 King's Indian Attack
